63.97,64.23,63.89,63.94,59.43,50.44
64.12,64.5,63.32,63.94,59.43,
63.2,64.31,62.15,64.21,59.68,
61.3,64.7,60.88,62.99,58.55,
59.75,61.32,59.08,60.86,55.94,
59.21,59.8,56.74,59.67,54.84,
58.32,59.96,58.17,59.02,54.25,
57.74,58.54,56.96,58.1,52.75,
57.69,58.68,56.72,57.62,52.32,
56.92,58.5,56.42,57.44,52.16,
54.9,56.29,53.15,56.26,50.47,
58.6,58.73,54.07,55.23,49.55,
59,59.66,57.65,58.67,52.63,
57.77,59.91,56.54,59.3,52.56,
58.65,59.09,57.69,58.08,51.48,
56.33,61.29,56.32,58.29,51.67,
59.52,60.09,54.38,55.88,48.95,
58.05,59.97,55.25,59.66,52.26,
57.82,60.77,55.02,58.89,51.58,
61.3,61.33,55.32,58.67,50.8,
60.1,61.4,55.09,61.4,53.16,
61.5,62.2,59.81,60.03,51.97,
61.89,61.95,59.31,61.35,52.51,
62,62.74,60.1,61.92,53,
63.22,63.94,61.45,62.14,53.19,
62.14,63.23,60.95,62.98,53.3,
57.85,62.35,57.81,61.96,52.44,
58.04,59.85,57.42,57.78,48.9,
60.9,62.44,56.17,57.48,48.07,
60.47,61.04,57.76,60.2,50.35,
59.7,61.95,58.71,60.23,50.37,
