54.08,54.29,53.5,54.11,54.11,15.36
55.71,59,51.71,53.83,53.83,
51.55,57.59,50.09,55.57,55.57,
47.48,53.96,47.23,51.75,51.75,
48.51,50.33,45.72,46.78,46.78,
46.66,52.75,45.49,48.76,48.76,
97.11,98.83,46.25,46.9,46.9,
85.77,97.57,84.73,96.35,48.17,
85.75,92.27,84.54,85.56,42.78,
100,106.6,84.05,85.18,42.59,
94.21,105.69,89.99,101.11,50.56,
89.31,96.49,88.29,94.9,47.45,
74.66,99.56,72.33,89.58,44.79,
70.32,75.23,69.6,74.94,37.47,
63.28,72.38,59.56,70.75,35.38,
57.27,66.37,57.27,63.46,31.73,
58.36,60.97,55.46,57.27,28.64,
45.6,60.28,44.34,60.28,30.14,
58.45,60.85,41.45,46.28,23.14,
53.57,61.27,49.92,58.46,29.23,
59.98,60.31,44.93,53.37,26.68,
57.94,62.64,57.72,60.47,30.24,
57.3,59.2,53.27,56.97,28.49,
52.34,59.5,52.31,57.29,28.65,
53.15,55.7,50.56,52.29,26.15,
48,53.52,45.08,52.88,26.44,
48.67,52.11,43.4,47.89,23.94,
42.85,48.68,42.42,48.2,24.1,
39.01,46.06,39.01,42.6,21.3,
39.8,41.19,36.76,39.25,19.62,
37.66,40.45,36.98,39.82,19.91,
