41.74,41.82,41.4,41.45,40.8,42.74
42.75,43.89,41.42,41.52,40.87,
43.37,44.28,41.92,42.88,42.21,
43.15,45.44,42.05,43.8,42.99,
42.45,43.78,41.44,42.73,41.94,
44.17,46.25,42,42.35,41.57,
45.25,46.05,43.53,44.19,43.25,
44.87,48.32,44.69,45.25,44.29,
43.43,46.99,42.45,45.01,44.05,
43.44,44.39,41.43,42.96,41.94,
41.29,44.42,39.77,42.59,41.58,
46.2,46.68,40.4,41.51,40.52,
45.26,46.54,42.13,45.99,44.77,
47.2,47.67,43.72,45.32,44.11,
48.5,49.26,46.46,47.29,45.92,
45.91,48.15,44.87,47.78,46.39,
43.64,45.52,42.25,45.39,44.07,
39.84,43.78,38.87,43.62,42.35,
36.87,43.2,34.15,41.28,39.98,
40.37,40.58,35.56,37.64,36.45,
42,42.32,37.63,40.16,38.89,
44.95,46.23,41.6,42,40.56,
48,48.31,42.79,44.92,43.38,
50.16,50.77,44.74,48.12,46.47,
50.01,52.67,48.08,50,48.17,
50.3,54,47.66,49.54,47.73,
44.65,51.24,43.82,50.59,48.64,
41.08,44.78,39.06,44.65,42.93,
37.59,41.09,36.95,40.58,39.01,
39.4,39.57,36.98,37.33,35.78,
39.1,39.98,38.34,39.22,37.59,
