14.97,14.97,14.73,14.74,14.04,45.15
15.23,15.69,14.63,14.96,14.24,
14.43,15.75,14.21,15.3,14.57,
13.75,14.97,13.56,14.4,13.6,
12.88,13.71,12.63,13.51,12.76,
12.38,12.94,11.65,12.78,12.07,
11.93,12.62,11.76,12.34,11.52,
11.07,12.92,11.04,11.85,11.07,
10.83,11.56,10.32,11.04,10.31,
11.23,11.52,10.18,10.77,9.94,
10.75,11.35,10.39,11.09,10.24,
13.53,13.86,10.76,11.13,10.28,
13.41,13.73,12.28,13.51,12.34,
12.41,14.07,11.66,13.51,12.34,
11.82,12.95,11.45,12.38,11.31,
11.15,12.96,11.03,11.71,10.59,
10.85,11.92,10.18,10.85,9.81,
12.63,13.11,10.69,10.99,9.94,
11.7,14.05,10.91,13.16,11.77,
13.52,13.52,10.95,11.94,10.68,
15.23,15.23,12.21,13.39,11.98,
17.17,17.23,15.02,15.18,13.44,
17.27,17.29,15.52,17.08,15.12,
17.05,17.93,16.59,17.27,15.29,
17.29,17.48,16.03,16.99,14.93,
18.5,18.7,15.61,17.18,15.1,
17.49,19.29,17.45,18.36,16.14,
17.5,18.07,17.03,17.45,15.23,
14.48,17.46,14.48,17.15,14.97,
12.98,15.8,12.44,14.28,12.47,
13.08,13.18,12.3,12.91,11.17,
