76.6,77.66,76.6,77.32,77.32,80.91
69.89,76.58,68.21,76.26,76.26,
66.19,69.75,65.07,69.55,69.55,
60,67.18,58.53,66.14,66.14,
55.06,60.73,54.76,59.34,59.34,
55.63,57.83,52.29,55.34,55.34,
55.76,57.83,53.93,55.8,55.8,
56.55,59.88,53.32,54.26,54.26,
47.61,52.17,46.08,50.47,50.47,
46.37,49.51,45.07,47.8,47.8,
50.29,50.29,43.99,45.67,45.67,
55,58.98,47.2,50.47,50.47,
53.61,55.63,52.3,54.95,54.95,
52.18,55.24,52.03,53.49,53.49,
48.73,52.78,45.32,52.47,52.47,
48.92,52.8,46.75,48.56,48.56,
47.36,48.29,45.09,47.66,47.66,
38.91,47.2,38.08,47.2,47.2,
38.04,41.02,33.91,39.36,39.36,
43.14,44.35,35.27,39.06,39.06,
52.23,52.26,35.57,43.9,43.9,
50.73,54.28,49.85,52.59,52.59,
50.21,53.38,48.89,50.15,50.15,
46.05,51.9,45.05,50.79,50.79,
48.52,53.01,48.45,49.9,49.9,
38.76,49.62,37.16,48.4,48.4,
38,41.5,37.37,38.99,38.99,
28.91,37.49,28.82,36.49,36.49,
27.39,30.85,26.92,28.28,28.28,
28.05,28.68,24.41,26.61,26.61,
25.77,28.35,25.77,28.22,28.22,
